gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
16764,129.6955278,-7.088133422,0.457621826,-15.48906327,4.11E-54,3.84E-52
100689,4500.481543,-7.885001306,0.509197839,-15.4851429,4.37E-54,4.06E-52
76220,202.8438681,-7.240302772,0.470850901,-15.37706046,2.33E-53,2.15E-51
24075,365.2128566,2.074465886,0.135217395,15.34170866,4.02E-53,3.70E-51
269587,1533.449985,1.70566752,0.111264026,15.32991011,4.83E-53,4.41E-51
71586,298.460302,2.388160354,0.155909371,15.31761906,5.83E-53,5.31E-51
217151,95.65972077,-5.204412575,0.339957888,-15.30899198,6.66E-53,6.03E-51
73711,698.8756398,1.219795453,0.079702021,15.30444815,7.14E-53,6.44E-51
11749,7758.842373,-2.074874288,0.135671191,-15.29340371,8.46E-53,7.59E-51
18213,4376.796463,-8.081292057,0.528787946,-15.28267071,9.98E-53,8.91E-51
23964,1592.700949,-7.322989049,0.479651722,-15.26730481,1.26E-52,1.12E-50
19347,2271.774817,-1.34930572,0.088398857,-15.26383668,1.33E-52,1.18E-50
16529,2710.527039,3.54354084,0.232381808,15.24878764,1.68E-52,1.48E-50
19253,708.4242227,5.317693445,0.348749,15.24791023,1.70E-52,1.49E-50
106565,370.0339952,-7.414474724,0.486557338,-15.23864536,1.96E-52,1.71E-50
13003,1912.725229,-5.81642881,0.381867631,-15.23153139,2.18E-52,1.90E-50
16533,938.2571555,-8.905446841,0.585190343,-15.21803453,2.68E-52,2.32E-50
16768,614.4258609,-5.249438046,0.345475108,-15.19483728,3.83E-52,3.29E-50
22033,285.8932776,-4.97778736,0.327691929,-15.19044848,4.09E-52,3.51E-50
73173,1357.805628,-5.707166453,0.378116362,-15.09367758,1.78E-51,1.52E-49
242721,329.1656132,4.697763016,0.311658962,15.07340904,2.42E-51,2.06E-49
17263,181.2181261,-4.09733679,0.271856249,-15.07170356,2.49E-51,2.10E-49
16665,8970.384257,-6.571984247,0.43711998,-15.03473771,4.35E-51,3.66E-49
100861621,835.2077119,-8.039944445,0.535864332,-15.00369397,6.94E-51,5.82E-49
71738,201.037364,-6.122864187,0.408164814,-15.00096036,7.24E-51,6.04E-49
20528,1164.120356,-6.261298212,0.418274911,-14.96933725,1.16E-50,9.67E-49
240888,117.5398319,-5.289497083,0.354301827,-14.92935312,2.12E-50,1.76E-48
11468,5373.954813,-9.051182568,0.607083658,-14.90928383,2.87E-50,2.36E-48
67923,1578.899944,-1.251440722,0.084111111,-14.87842345,4.55E-50,3.73E-48
12337,795.0387451,3.292598916,0.221511307,14.8642476,5.62E-50,4.59E-48
70717,1114.860769,-6.710981958,0.451686063,-14.8576246,6.21E-50,5.05E-48
100604,564.8227977,-5.62366301,0.378665022,-14.85128726,6.82E-50,5.52E-48
234593,250.2487371,-5.123187114,0.345102181,-14.84542086,7.45E-50,6.00E-48
50722,549.4249932,6.443931282,0.434707539,14.82360139,1.03E-49,8.27E-48
16971,6058.016823,-4.773155148,0.323126792,-14.77177153,2.23E-49,1.78E-47
233271,498.6622354,-7.87547797,0.533910958,-14.75054568,3.05E-49,2.43E-47
19329,322.4263111,4.071504626,0.276431234,14.72881545,4.21E-49,3.34E-47
214112,410.6192932,-7.671886122,0.521586783,-14.70874334,5.66E-49,4.47E-47
56807,104.368469,4.535445803,0.308379655,14.70734444,5.78E-49,4.54E-47
20970,1244.638508,-4.137991932,0.281398173,-14.70511302,5.98E-49,4.68E-47
18669,247.1581895,-6.71549718,0.457191871,-14.68857521,7.63E-49,5.95E-47
105653,369.4672179,-7.547974004,0.514917168,-14.65861789,1.19E-48,9.21E-47
23965,203.1118153,-7.378017396,0.503758551,-14.64593976,1.43E-48,1.11E-46
74464,74.09851971,4.931508395,0.336963921,14.63512291,1.68E-48,1.29E-46
56213,1853.143997,-6.078577676,0.415860448,-14.61686897,2.19E-48,1.68E-46
17132,179.6325877,-4.573524347,0.313835317,-14.57300724,4.17E-48,3.18E-46
