"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"219135",931.714210225672,-0.570877547791981,0.256885419574236,-2.22230420371136,0.0262627542580322,0.0471961834777508
"68082",104.216281569326,-0.556919789938584,0.250616740908355,-2.22219708037077,0.0262699896937192,0.0472047057854113
"100038610",1.87665492838349,3.36031395859939,1.51223590231221,2.22208317727509,0.0262776849442349,0.0472140526413119
"380714",221.606808535814,1.35654059406412,0.610566682884135,2.22177303821465,0.0262986476969808,0.0472472336554355
"209268",2.16205847251959,2.19724999984949,0.989221661328941,2.2211907459625,0.0263380447208707,0.0473135236000916
"16564",1175.51362651431,0.565191131160157,0.254575401734807,2.2201325316926,0.0264097724842938,0.0474378742261283
"17105",49.2895990848038,-1.22111471210172,0.550199954209101,-2.21940169707401,0.0264594083121062,0.0475180154587326
"107503",855.8648724915,0.562894036510488,0.253620234309195,2.21943662359467,0.0264570343878555,0.0475180154587326
"76498",285.093456267649,1.26255356376423,0.569005841570295,2.2188762777548,0.0264951428052501,0.0475776777195187
"320534",202.715887842531,0.88354953199788,0.398273884350519,2.21844707050958,0.0265243647148505,0.0476256350413447
"11946",16437.9733119724,0.510880295161602,0.230355153129433,2.21779408110113,0.026568875885429,0.0477010331893337
"69082",1209.77013876131,0.333834163761699,0.150543281201117,2.2175294778896,0.0265869309848917,0.0477289230366872
"76987",317.534822400835,0.636098402347422,0.286882492150659,2.2172785713719,0.0266040612841792,0.0477551475497392
"630294",70.8088559709304,0.461443332186857,0.208197109693328,2.21637722476819,0.0266656781535492,0.0478590276034058
"67652",1.7388312739156,-2.99999762978072,1.35357081603549,-2.21635809094014,0.0266669874942395,0.0478590276034058
"108671",389.491890968946,0.584145968227096,0.263570941655296,2.21627606047352,0.0266726015234488,0.0478645661306966
"241070",4.11689100962451,-1.97346626385727,0.890491710088325,-2.2161534369158,0.0266809955799811,0.0478750919552086
"72155",118.275103637614,0.829477423479903,0.374294511879649,2.21610896540908,0.0266840403902285,0.0478760182648143
"14823",11.6946797211622,4.5296561734776,2.04558508596285,2.2143572538541,0.0268042129733532,0.0480870729995707
"73129",1.14221417089832,-3.46789652231943,1.56632819525346,-2.21402930294456,0.0268267632347765,0.0481229687434636
"108013",126.737491161351,0.950645727249455,0.429526403558735,2.21324165260416,0.0268809898581973,0.0482156746850234
"76559",1292.19461953393,0.455505451722412,0.205842449034982,2.2128839501176,0.0269056474980224,0.0482553310341533
"252966",561.460848396692,-0.284995418137103,0.128798938432483,-2.21271558295101,0.0269172603725833,0.0482715862752881
"100532",2178.59027116082,0.599178662836446,0.270794777618912,2.21266698015745,0.0269206134826861,0.0482730273398218
"94061",149.771222133117,0.265234455230913,0.119883929266987,2.21242711056144,0.0269371673850833,0.0482981370520045
"20269",4.46308560897729,-2.38098295702859,1.07658270765624,-2.21161174157448,0.026993503428893,0.0483945643331748
"98736",24.7528748692684,-1.06079152552488,0.479674806640933,-2.21148059234837,0.0270025743719249,0.0484062434347686
"434401",190.707608603419,-0.560060522348934,0.253287012561447,-2.21116952142607,0.027024100131583,0.0484402453745519
"16795",507.948841059301,0.309295875375587,0.139883927375434,2.21108944521888,0.0270296437122594,0.0484455958015828
"26440",1721.97199572392,0.261694256175275,0.118358685672586,2.21102705465315,0.0270339636173384,0.0484487522130322
"237336",355.670851621456,-0.44959785645905,0.203353829095837,-2.21091414141586,0.0270417832131669,0.0484581793827468
"71078",2.61324226378521,-1.58584795557081,0.717332137263108,-2.21075827108684,0.0270525809301707,0.0484729409796396
"16149",316.578341902417,-1.26204983866359,0.570968188311434,-2.2103680458905,0.0270796296027748,0.0485168155657587
"241296",1504.69139226192,-0.415557773317411,0.188009335613654,-2.21030392964822,0.0270840760872578,0.0485201908067121
"69668",179.906369706989,0.507231513621943,0.229494677046728,2.21021036369686,0.0270905660505288,0.0485272258846464
"105245",3227.27408414437,0.479353812492071,0.21690685195206,2.20995237438611,0.0271084677738317,0.0485546995392801
"209448",1.56921077395709,-2.21699390691576,1.003232979268,-2.2098495092669,0.0271156083692907,0.0485628952765939
"59006",3.18916434784243,-2.72361602038384,1.2325527009422,-2.20973595555129,0.0271234928209805,0.0485724215522978
"69953",151.667166571904,-0.498939217533871,0.225797220621727,-2.20967829524232,0.0271274971455062,0.0485749981986962
"15221",1.37690251604259,-3.13524866518265,1.41897095732515,-2.20952278762124,0.0271382991975,0.0485897453433064
"74090",11.2655414624487,1.38832430134866,0.628390383156829,2.20933409956748,0.027151411052354,0.0486086248927071
"56175",237.58056865576,-1.51066303958691,0.683860943025963,-2.20902078849904,0.0271731949857852,0.0486430248521185
"100502945",1.59498389924487,3.66079466534014,1.65733092373204,2.20884955015298,0.0271851072417557,0.0486597485834186
"13405",1254.57907552966,-1.17304041266926,0.531079428439669,-2.20878525857365,0.027189580871707,0.0486631557070518
"57913",97.1277416819543,0.619700708890962,0.280676100095737,2.20788556161207,0.0272522515779644,0.0487707118503948
"77059",3.24866418490819,2.74432830387967,1.24315546192634,2.20755037316666,0.0272756318420421,0.0488033276599155
"20068",2976.71762679432,0.405639347900711,0.183750798410677,2.20755148499612,0.0272755542604493,0.0488033276599155
"330737",2.29975401660942,-1.88434213625057,0.853625047720907,-2.20745881494641,0.0272820212744482,0.0488101474827934
"432855",4.7017623640766,3.43992287430132,1.55837766600893,2.20737434149136,0.0272879174387266,0.0488160835964521
"640050",8.2812388434232,1.02954251844779,0.46643501701125,2.20725820510804,0.0272960254393313,0.0488259750277089
"108654",790.892211770849,-0.37624572446363,0.170522379023349,-2.20643018598815,0.0273538934275961,0.0489248647419332
"20518",1.00256656153339,-3.28977929880297,1.49143649352458,-2.20577900104116,0.0273994772861848,0.0490017665945615
"21987",171.454485393353,0.71722309710991,0.325265316137612,2.20504019803473,0.0274512738754092,0.0490897638418018
"320507",9.15126711769936,1.16200783453779,0.527052035167069,2.20473076091898,0.0274729932253446,0.0491239638992043
"66861",1991.31474359802,-0.566024765899129,0.256738579916595,-2.20467358697322,0.0274770078791206,0.0491265030390245
"67707",647.261721743782,0.234043363669243,0.106197450581991,2.20385105656136,0.0275348205529129,0.0492252188035929
"70036",70.3745013571014,-0.616210830752252,0.279628834766578,-2.20367413563282,0.0275472693844211,0.0492428246341228
"627191",1.31798435386378,3.94891660694779,1.79215159901577,2.20345009267994,0.0275630408676026,0.0492663660707248
"319822",111.781295589839,0.592794188669167,0.269056824384001,2.2032304515091,0.0275785100475028,0.0492893627751008
"66500",1651.88843745385,0.630372848850554,0.28614638164505,2.20297333562826,0.027596628059161,0.0493170887845356
"19378",5.3443137581597,-1.15802278772001,0.525679941773667,-2.20290464919165,0.0276014698772891,0.0493210863209317
"68790",1.0132430567498,-2.75087192856016,1.24901952394957,-2.20242508288544,0.0276352957033367,0.0493768697600243
"103232",16.4829591698021,0.62062345042527,0.281802028631886,2.20233847654795,0.0276414082218942,0.0493831310882566
"20229",2844.64896094233,0.56125309751463,0.2549515426861,2.20141087047923,0.0277069501390243,0.0494955556120658
"72267",126.408490217532,0.940175732931491,0.427170070510912,2.2009400888199,0.0277402654258334,0.0495503948653518
"18472",4009.79650560579,-0.34421817327282,0.156415038062583,-2.20067186337349,0.0277592620831223,0.0495796498709402
"381293",99.3134492970847,0.941047561679195,0.427753749872845,2.19997501356548,0.0278086678429054,0.0496632066532326
"666680",1.64427540416594,-2.42599118721971,1.10284742568223,-2.19975232359905,0.0278244722541564,0.0496867450401017
"52662",303.188920621652,1.11870426479238,0.508601131404339,2.19957093234031,0.0278373513994927,0.0497050557712179
"627110",183.844669096049,1.02512541644056,0.466256372555555,2.19863036042133,0.0279042163604212,0.0498197484741363
"76573",1.9647273559783,2.82315596876704,1.28413984256876,2.19848016172418,0.0279149067492568,0.0498341358090164
"12480",10.9081120869376,1.2494470308551,0.568336614588564,2.19842783094243,0.027918632220753,0.0498360877220455
"100126224",1.55765898441347,2.72881519306631,1.24138600971294,2.19820037580199,0.0279348299204987,0.0498603006895477
"67053",411.509216298992,0.691889444970462,0.314765548579829,2.19811046060204,0.0279412352605838,0.0498670325595149
"20535",1638.24768510131,-0.402860334141441,0.183287431053238,-2.1979703235866,0.0279512208050476,0.0498768807711682
"382077",2.45771439422672,2.47313827935659,1.12519759714267,2.19795908348621,0.0279520218581845,0.0498768807711682
"109229",160.29998041636,0.488561194106412,0.222303828203438,2.19771831216201,0.0279691857661766,0.0499028046830747
"11474",6.66264211165721,-1.10831326777092,0.50441788577369,-2.19721246813236,0.0280052755560986,0.0499624882106069
"269523",4612.25277560357,0.375492390575227,0.170918289497505,2.19691170371039,0.0280267528238988,0.0499913836992651
"246729",1.67224343809201,-3.48790303528531,1.58762329806992,-2.19693364258736,0.0280251857121122,0.0499913836992651
"99586",28.8225684993967,-0.911212790630499,0.414794429384936,-2.19678164912114,0.0280360442799139,0.0500032462693942
"268933",338.599145501051,0.333794665377112,0.151974610299799,2.19638441394018,0.0280644402905839,0.0500491770238217
"100502846",1.63529502255606,2.24686499953621,1.02316854616532,2.19598716942299,0.0280928617553156,0.050095144516401
"11421",843.905288535579,1.06046928099188,0.482945717226548,2.19583535615954,0.0281037300167824,0.0501050870186212
"68910",200.129383837394,0.928509946734123,0.422844402519405,2.19586670936601,0.0281014851541971,0.0501050870186212
"66559",140.720374663151,0.280632759180992,0.127815801074533,2.19560302264465,0.028120369713018,0.0501300329673555
"268934",1.77152190380288,-3.57449888250914,1.6281793378331,-2.19539629293315,0.0281351828064195,0.0501517182504939
"14299",277.519708768723,-1.46611274838809,0.668054674717679,-2.19459993900599,0.0281923079351569,0.0502488146892837
"666448",186.803783431644,0.533932680534753,0.243303311357049,2.19451464740323,0.0281984321085922,0.0502541312954447
"21375",1.47569286868455,-2.74324070706266,1.25006157221426,-2.19448447023574,0.028200599187393,0.0502541312954447
"67332",1275.11797450951,0.367843388756655,0.167635807543034,2.19430081286317,0.0282137910614221,0.0502681772802265
"68995",581.774329336979,0.377555123929522,0.172061159779166,2.19430767765427,0.0282132978766108,0.0502681772802265
"70448",8.56419324209049,-1.22395819298896,0.558047353255268,-2.19328733636891,0.0282866834600685,0.0503933067964751
"207227",2.51335826346102,2.47990169236909,1.13070077020016,2.19324312649941,0.0282898668623219,0.0503942364447458
"101706",3705.41196026481,-0.320855585896873,0.146295552645952,-2.19320122924974,0.0282928840255796,0.0503948698156466
"100217423",27.3251932150274,-0.846180802560448,0.385973424601253,-2.19232918285665,0.0283557460206491,0.0505020877767821
"381549",71.6259588463314,-0.448332927536651,0.204543189612988,-2.19187413858625,0.0283885959155817,0.050555838512568
"436336",2.36217574834583,-2.06576943463163,0.942545518654649,-2.19169195942942,0.0284017567162713,0.0505745191071081
"100503390",3.18423061006828,-2.05827950129436,0.939144803656496,-2.19165297330145,0.0284045737950037,0.0505747790327817
"668158",144.096664279433,0.692455892335163,0.315972597910925,2.19150615247456,0.028415185006592,0.0505889151776975
"381417",2.64497144184123,-2.61394954583044,1.1929747781781,-2.19111886826513,0.0284431916634506,0.0506340156972333
"11907",615.724916167492,-0.324793309881156,0.148263385125485,-2.19065084482094,0.0284770687490154,0.0506895571771983
"665433",4.17141962948863,1.74808772822312,0.798042731287874,2.19046883041221,0.0284902529379584,0.0507082580491919
"27390",10.7222283298187,0.912477841757148,0.416694672610187,2.18979963444544,0.0285387712688145,0.0507898388197889
"11423",9.58641336223907,-1.79998102192526,0.822373862606913,-2.18876243977325,0.0286141110279008,0.0509191332896875
"320244",441.738005907292,0.325052307270078,0.148517276681738,2.18864979571799,0.0286223035705555,0.0509289254585939
"64099",4.50134626804978,-1.50116174411251,0.685925668074756,-2.18851956411828,0.0286317777637945,0.0509362097321887
"71435",3440.45896571954,-0.41772573875878,0.190868966558388,-2.18854718129883,0.0286297684213059,0.0509362097321887
"58245",513.309750233352,0.942154173503943,0.430687421597925,2.18755906547813,0.0287017363427588,0.0510484202541548
